BedCt,AreaCd,Phone,PerDiem
22,978,9355050,28414
168,781,9355050,22430
53,413,5838820,25139
455,617,3258000,17783
220,617,3638913,27850
.,774,6281011,1652
.,617,5228110,25087
294,617,8552000,20773
30,508,8552000,17216
157,781,3440600,21411
43,508,   ,25650
.,781,8282440,26452
131,413,7489000,22326
.,508,2079800,13091
180,617,8764344,18477
132,617,5737000,27975
60,508,8334000,13727
.,978,6155200,24367
45,508,9773000,19817
675,978,8517321,27083
47,413,7876700,31049
90,508,9956900,29392
127,413,7876700,22123
45,781,6476727,29924
.,413,5624131,25468
.,781,8268161,28895
.,781,7627764,24135
10,978,3738222,29950
88,508,8702222,14797
60,978,3728000,27191
166,508,7524681,26935
11,781,3558555,22393
30,617,6323000,20612
16,508,7659971,21128
21,508,8485353,17486
25,781,3440600,31673
15,508,6745600,25465
15,617,7893000,24851
45,508,7936611,30113
0,413,9676211,21696
0,617,5914500,21959
0,617,4245365,21550
0,508,7659771,24423
0,413,4472000,19897
0,617,2964000,21035
0,413,4472750,30137
0,617,2272622,13814
0,617,3280639,22221
0,508,9991102,14864
0,413,2093124,13549
0,508,7999000,30560
0,978,6870151,21622
0,978,4631010,18013
0,978,4631010,29366
0,978,4631010,23818
0,978,4626601,15915
0,978,4631010,2127
0,978,4631010,17024
0,978,7849546,1935
0,617,7327500,23467
0,617,6672203,23765
0,978,7936611,31669
0,413,7842500,27551
0,413,7840000,25333
0,413,7840000,21658
0,413,7942449,31764
0,413,7730211,25945
0,413,7940000,32321
0,413,7840000,18019
0,413,7945890,29423
0,413,   ,27923
0,413,7940000,22920
0,413,7940000,15114
0,413,2837651,28264
0,413,2837651,2991
0,413,9672110,22892
0,413,7940000,13836
0,413,7872500,18833
0,413,7940000,12819
0,413,7945890,15762
0,413,7940000,22578
0,413,2845210,28342
0,413,4472750,24057
0,413,4434761,22785
0,413,4472000,16273
0,413,4477999,14081
0,413,4472750,21661
0,413,4472750,27287
0,413,4472303,18815
0,617,6674607,19493
0,781,4533000,25912
0,781,6673675,28486
0,978,9222900,19985
0,508,8302001,27649
0,508,8302001,23722
0,508,8302001,29086
0,617,6678000,21365
0,508,4731190,2638
0,413,4472750,30157
0,617,6388000,21586
0,617,5342686,29959
0,617,3556000,17970
0,617,3556000,26881
0,978,3556000,13175
0,617,3556000,16466
0,617,6388000,17438
0,617,6388000,19685
0,617,6386911,31791
0,508,4573501,20057
0,617,6673675,18490
0,617,7325537,17514
0,508,7325500,27873
0,617,7325500,23452
0,617,7325537,27690
0,617,4245365,19792
0,617,7893000,13585
0,617,7893000,21033
0,508,9417000,1764
0,617,7325500,14812
0,617,7325500,20824
0,617,7325700,18436
0,413,7659771,26646
0,617,6674607,20761
0,508,8627224,21867
0,508,8625893,29240
0,508,8625552,19920
0,508,8625104,28071
0,508,8625893,14036
0,508,8625010,24149
0,508,8625893,32553
0,508,5884000,29929
0,978,2873100,15541
0,617,4981000,17434
0,617,6651001,31165
0,617,4981000,19033
0,617,4981000,16460
0,617,4981000,29562
0,617,4981000,22482
0,617,4981000,25473
0,617,6651001,23340
0,617,6651001,17795
0,617,6651000,15638
0,617,4981000,14976
0,781,6651001,14383
0,781,4981000,14117
0,617,4981000,30765
0,617,4981000,17269
0,617,4981000,15151
0,617,4981000,24088
0,508,6797115,27969
0,781,9793000,16454
0,508,7710276,30347
0,617,8259660,2104
0,781,3227560,28179
0,413,5822000,18690
0,413,5822212,25350
0,413,5822000,14631
0,413,5822000,29478
0,413,5822000,32017
0,413,5822000,13211
0,413,5822000,14451
0,413,5822000,19666
0,413,4472750,24568
0,781,6248171,1566
0,781,4533000,31834
0,413,7945890,15262
0,781,6324266,15935
0,617,6323000,13212
0,617,6324266,22426
0,617,6324266,28364
0,617,6324266,31243
0,617,6233000,15398
0,508,4273121,28350
0,978,4631010,28074
0,617,2883232,1308
0,508,8287051,23682
0,617,5687294,27586
0,617,0,32769
0,617,6388000,22960
0,978,7262000,27310
0,978,2873100,2810
0,978,2873100,17388
0,978,3691400,27242
0,978,3691400,1752
0,978,2873100,12912
0,978,3691400,15333
0,508,8246911,19349
0,413,4472303,29359
0,413,5280790,2637
0,413,8549645,24817
0,413,5280790,27549
0,508,5485500,13899
0,508,8625010,29360
0,508,8625010,25314
0,508,8625010,15889
0,508,4573504,32355
0,781,9793000,30856
0,508,7294000,26370
0,508,4731190,15292
0,508,7659771,29189
0,978,2834000,22685
0,508,4272601,14539
0,508,4272601,2258
0,508,5884000,12957
0,508,4273000,20237
0,508,4272601,22574
0,617,5225800,14255
0,781,2786001,2094
0,508,7936611,32210
0,781,9793000,28174
0,781,9793000,1279
0,781,9793000,24728
0,508,7659771,13138
0,508,7659771,23451
0,508,7659771,19011
0,508,7659771,28493
0,508,7659771,14355
0,508,7659167,17824
0,508,7659771,18533
0,508,7659771,15688
0,978,   ,23817
0,978,4662190,14773
0,781,9793000,17781
0,781,9797000,14894
0,508,8808721,19597
0,781,8485353,17155
0,781,3804360,15576
0,978,9355050,26756
